trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2507,False,"{'a': 0.05749346798063183, 'e': 0.006610997720879876}",20,12,16.839127886630592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2508,False,"{'a': 0.057435945737134494, 'e': 0.006597775725438116}",25,13,23.232618720072693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2509,False,"{'a': 0.05737848104467057, 'e': 0.00658458017398724}",30,14,30.843104109425823,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2510,False,"{'a': 0.05732107384566022, 'e': 0.006571411013639265}",20,14,12.98673701868555,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2511,False,"{'a': 0.05726372408258123, 'e': 0.006558268191611987}",25,17,13.509475380702826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2512,False,"{'a': 0.05720643169796891, 'e': 0.006545151655228763}",20,8,25.618180086370707,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2513,False,"{'a': 0.05714919663441607, 'e': 0.006532061351918305}",30,16,24.92506906269119,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2514,False,"{'a': 0.05709201883457296, 'e': 0.006518997229214468}",30,22,16.32017145566973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2515,False,"{'a': 0.05703489824114723, 'e': 0.006505959234756039}",25,18,14.744442803854618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2516,False,"{'a': 0.05697783479690382, 'e': 0.006492947316286527}",25,6,36.169220380812405,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2517,False,"{'a': 0.056920828444664937, 'e': 0.006479961421653954}",20,9,22.35977765810475,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2518,False,"{'a': 0.05686387912731001, 'e': 0.006467001498810646}",25,10,27.03445110110191,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2519,False,"{'a': 0.056806986787775605, 'e': 0.006454067495813025}",20,11,15.183162157627098,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2520,False,"{'a': 0.05675015136905539, 'e': 0.006441159360821399}",25,13,23.120059636896393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2521,False,"{'a': 0.05669337281420006, 'e': 0.0064282770420997564}",25,5,37.3753862342039,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2522,False,"{'a': 0.05663665106631728, 'e': 0.006415420488015557}",25,0,39.11247571516631,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2523,False,"{'a': 0.056579986068571654, 'e': 0.0064025896470395255}",30,21,16.678121950358587,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2524,False,"{'a': 0.056523377764184646, 'e': 0.0063897844677454465}",20,3,28.353247192394864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2525,False,"{'a': 0.05646682609643451, 'e': 0.006377004898809956}",25,11,26.186658442453073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2526,False,"{'a': 0.05641033100865628, 'e': 0.006364250889012336}",25,11,30.62636944057395,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2527,False,"{'a': 0.056353892444241646, 'e': 0.0063515223872343115}",25,17,16.148428662140446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2528,False,"{'a': 0.05629751034663896, 'e': 0.0063388193424598425}",25,8,24.445343597552284,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2529,False,"{'a': 0.05624118465935316, 'e': 0.006326141703774922}",25,4,37.311861972327755,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2530,False,"{'a': 0.05618491532594568, 'e': 0.006313489420367372}",20,14,12.33975778039272,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2531,False,"{'a': 0.05612870229003445, 'e': 0.006300862441526637}",25,17,15.680589195045094,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2532,False,"{'a': 0.056072545495293794, 'e': 0.006288260716643584}",30,10,33.696114036604726,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2533,False,"{'a': 0.05601644488545438, 'e': 0.006275684195210297}",30,23,13.77197154720205,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2534,False,"{'a': 0.0559604004043032, 'e': 0.006263132826819876}",20,12,15.631266292183415,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2535,False,"{'a': 0.055904411995683474, 'e': 0.0062506065611662364}",30,23,13.677163845467751,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2536,False,"{'a': 0.0558484796034946, 'e': 0.006238105348043904}",20,13,13.790561551612946,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2537,False,"{'a': 0.05579260317169211, 'e': 0.006225629137347816}",30,19,19.062448821115527,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2538,False,"{'a': 0.05573678264428761, 'e': 0.00621317787907312}",25,0,36.85953622064459,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2539,False,"{'a': 0.05568101796534872, 'e': 0.006200751523314974}",25,10,27.07409726176062,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2540,False,"{'a': 0.05562530907899903, 'e': 0.006188350020268344}",30,22,16.86251856323879,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2541,False,"{'a': 0.055569655929418024, 'e': 0.006175973320227807}",25,7,31.400687594193258,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2542,False,"{'a': 0.05551405846084103, 'e': 0.006163621373587351}",25,8,33.4297952075651,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2543,False,"{'a': 0.055458516617559184, 'e': 0.006151294130840176}",20,13,12.55948845799734,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2544,False,"{'a': 0.05540303034391935, 'e': 0.006138991542578496}",25,8,34.305508639685456,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2545,False,"{'a': 0.055347599584324066, 'e': 0.006126713559493339}",20,13,11.919347072204733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2546,False,"{'a': 0.05529222428323151, 'e': 0.006114460132374352}",30,14,29.224326427283636,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2547,False,"{'a': 0.05523690438515542, 'e': 0.006102231212109604}",30,18,28.364895550727738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
