trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7063993204979744, 'e': 0.998}",20,0,-110.3350117744117,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.7056925676241744, 'e': 0.996004}",20,0,-185.64813250601168,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.7049865218569785, 'e': 0.994011992}",20,2,-96.05999650245556,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 1}",1
4,False,"{'a': 0.7042811824889261, 'e': 0.992023968016}",20,0,-101.45239497742276,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.7035765488132645, 'e': 0.990039920079968}",20,0,-125.48214548793669,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.7028726201239482, 'e': 0.9880598402398081}",30,0,-264.85129209121703,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
7,False,"{'a': 0.702169395715638, 'e': 0.9860837205593285}",25,0,-136.59865328627222,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.7014668748837004, 'e': 0.9841115531182099}",25,0,-116.42133640630706,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.7007650569242068, 'e': 0.9821433300119734}",20,0,-154.0713140900862,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
10,False,"{'a': 0.700063941133933, 'e': 0.9801790433519495}",20,0,-35.35265427308826,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.6993635268103583, 'e': 0.9782186852652456}",20,0,-81.5947845417674,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.698663813251665, 'e': 0.976262247894715}",20,0,-70.00348265717925,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.6979647997567376, 'e': 0.9743097233989256}",20,4,-100.07972050779232,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 1}",1
14,False,"{'a': 0.6972664856251618, 'e': 0.9723611039521278}",30,0,-158.69478409866537,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.6965688701572241, 'e': 0.9704163817442236}",20,0,-181.8372305238619,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
16,False,"{'a': 0.6958719526539114, 'e': 0.9684755489807352}",25,0,-212.43752061547409,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
17,False,"{'a': 0.6951757324169098, 'e': 0.9665385978827737}",25,0,-52.156233141511635,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.6944802087486036, 'e': 0.9646055206870082}",20,0,-112.51443373958683,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.6937853809520759, 'e': 0.9626763096456342}",20,0,-129.17548669547938,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.6930912483311065, 'e': 0.9607509570263429}",25,0,-100.10236541494083,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.6923978101901718, 'e': 0.9588294551122902}",20,0,-80.8404141319007,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.6917050658344442, 'e': 0.9569117962020657}",20,0,-129.10199630848874,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
23,False,"{'a': 0.6910130145697915, 'e': 0.9549979726096616}",20,0,-128.77950816901296,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
24,False,"{'a': 0.6903216557027754, 'e': 0.9530879766644422}",20,0,-124.40237047701545,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.6896309885406519, 'e': 0.9511818007111134}",20,0,-71.97876277317195,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.6889410123913698, 'e': 0.9492794371096911}",25,0,-80.57227088030497,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
27,False,"{'a': 0.6882517265635705, 'e': 0.9473808782354717}",20,0,-40.16995131573225,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.687563130366587, 'e': 0.9454861164790007}",20,0,-85.35233114565226,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.6868752231104434, 'e': 0.9435951442460427}",20,0,-39.003961820368374,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.6861880041058539, 'e': 0.9417079539575507}",20,2,-50.554461124209524,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
31,False,"{'a': 0.6855014726642226, 'e': 0.9398245380496356}",20,0,-61.56122515913635,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
32,False,"{'a': 0.6848156280976422, 'e': 0.9379448889735363}",20,0,-118.44280697547339,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.684130469718894, 'e': 0.9360689991955893}",30,0,-252.09916104850288,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 5}",0
34,False,"{'a': 0.6834459968414469, 'e': 0.9341968611971981}",25,0,-79.110738213439,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.6827622087794563, 'e': 0.9323284674748037}",30,0,-140.4700262789788,"{0: 17, 1: 2, 2: 9, 3: 1, 4: 1}",0
36,False,"{'a': 0.682079104847764, 'e': 0.930463810539854}",20,0,-24.771453234021873,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.6813966843618974, 'e': 0.9286028829187744}",20,0,-138.9612690304327,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
38,False,"{'a': 0.6807149466380684, 'e': 0.9267456771529368}",20,0,-57.189083759221354,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.6800338909931736, 'e': 0.9248921857986309}",30,2,-25.83167961137094,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.6793535167447923, 'e': 0.9230424014270336}",30,0,-270.57284021738167,"{0: 16, 1: 2, 2: 4, 3: 4, 4: 4}",0
41,False,"{'a': 0.6786738232111872, 'e': 0.9211963166241796}",25,0,-241.7672955375792,"{0: 11, 1: 1, 2: 9, 3: 0, 4: 4}",0
42,False,"{'a': 0.6779948097113028, 'e': 0.9193539239909312}",20,0,-123.92929224758451,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
43,False,"{'a': 0.6773164755647648, 'e': 0.9175152161429493}",25,0,-107.2298909017381,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.6766388200918801, 'e': 0.9156801857106633}",30,0,-78.92157916181168,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.6759618426136352, 'e': 0.913848825339242}",20,0,-67.42653543487174,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
46,False,"{'a': 0.6752855424516964, 'e': 0.9120211276885636}",25,0,-65.92385429818864,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.674609918928408, 'e': 0.9101970854331864}",30,14,-99.10392235805843,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 2}",1
48,False,"{'a': 0.6739349713667929, 'e': 0.9083766912623201}",20,0,-58.67189546843263,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.6732606990905512, 'e': 0.9065599378797955}",20,0,-121.25388478607675,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
50,False,"{'a': 0.6725871014240594, 'e': 0.9047468180040359}",30,0,-83.01130181570292,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.6719141776923702, 'e': 0.9029373243680279}",20,0,-65.76593814223882,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
52,False,"{'a': 0.6712419272212112, 'e': 0.9011314497192918}",30,0,-100.0960922134595,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.6705703493369853, 'e': 0.8993291868198532}",20,0,-83.3634715199969,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.6698994433667689, 'e': 0.8975305284462135}",20,0,-51.136333554717396,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
55,False,"{'a': 0.6692292086383114, 'e': 0.8957354673893211}",25,0,-76.63156361260818,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
56,False,"{'a': 0.6685596444800354, 'e': 0.8939439964545425}",25,0,-92.59028995371477,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
57,False,"{'a': 0.6678907502210348, 'e': 0.8921561084616334}",30,0,-175.50880949490653,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
58,False,"{'a': 0.6672225251910753, 'e': 0.8903717962447101}",30,23,0.6251753993174738,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.6665549687205927, 'e': 0.8885910526522206}",20,0,-11.550950889405392,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.6658880801406931, 'e': 0.8868138705469162}",30,0,-125.41737542237054,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
61,False,"{'a': 0.6652218587831515, 'e': 0.8850402428058224}",25,0,-110.95518365145688,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.6645563039804117, 'e': 0.8832701623202107}",20,0,-79.37821942555506,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
63,False,"{'a': 0.6638914150655852, 'e': 0.8815036219955703}",20,0,-140.07458618572906,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
64,False,"{'a': 0.6632271913724509, 'e': 0.8797406147515792}",20,6,-38.40155988585489,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
65,False,"{'a': 0.662563632235454, 'e': 0.877981133522076}",20,0,-122.9257753992079,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
66,False,"{'a': 0.661900736989706, 'e': 0.8762251712550319}",20,0,-82.95998395371439,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
67,False,"{'a': 0.6612385049709831, 'e': 0.8744727209125218}",25,4,-66.64444379393845,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.6605769355157266, 'e': 0.8727237754706968}",20,0,-110.65630661935741,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
69,False,"{'a': 0.6599160279610412, 'e': 0.8709783279197554}",20,0,-14.939990896283712,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
70,False,"{'a': 0.6592557816446951, 'e': 0.8692363712639158}",35,0,-134.9783408386176,"{0: 23, 1: 2, 2: 6, 3: 3, 4: 1}",0
71,False,"{'a': 0.6585961959051191, 'e': 0.867497898521388}",25,5,-84.36505837072697,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",1
72,False,"{'a': 0.6579372700814058, 'e': 0.8657629027243453}",20,0,-23.23001553243017,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.6572790035133089, 'e': 0.8640313769188966}",30,0,-175.06274266564765,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
74,False,"{'a': 0.656621395541243, 'e': 0.8623033141650589}",25,0,-120.89305462213628,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
75,False,"{'a': 0.6559644455062823, 'e': 0.8605787075367288}",20,0,-47.59223107791488,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
76,False,"{'a': 0.6553081527501605, 'e': 0.8588575501216553}",25,0,-203.95664156938528,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
77,False,"{'a': 0.6546525166152697, 'e': 0.857139835021412}",30,0,-64.66484974648499,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
78,False,"{'a': 0.6539975364446602, 'e': 0.8554255553513692}",20,0,-155.70234073429774,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
79,False,"{'a': 0.6533432115820392, 'e': 0.8537147042406664}",25,0,-151.86611240765694,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
80,False,"{'a': 0.6526895413717708, 'e': 0.8520072748321851}",20,0,-82.96138894504182,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
81,False,"{'a': 0.6520365251588751, 'e': 0.8503032602825207}",20,0,-90.86757757229203,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0
82,False,"{'a': 0.6513841622890273, 'e': 0.8486026537619556}",30,0,-223.80059216113273,"{0: 13, 1: 3, 2: 11, 3: 0, 4: 3}",0
83,False,"{'a': 0.6507324521085573, 'e': 0.8469054484544317}",25,0,-99.97721680541112,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.6500813939644492, 'e': 0.8452116375575228}",20,0,-206.5315217512068,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",1
85,False,"{'a': 0.6494309872043402, 'e': 0.8435212142824078}",20,0,-99.40083291138573,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
86,False,"{'a': 0.6487812311765203, 'e': 0.841834171853843}",25,0,-102.66398056346992,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
87,False,"{'a': 0.6481321252299316, 'e': 0.8401505035101353}",20,0,-91.64721884970815,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
88,False,"{'a': 0.6474836687141673, 'e': 0.838470202503115}",25,0,-45.05593145896599,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.6468358609794717, 'e': 0.8367932620981088}",25,0,-44.36564712580494,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
90,False,"{'a': 0.6461887013767389, 'e': 0.8351196755739125}",20,12,5.108217457276851,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.6455421892575127, 'e': 0.8334494362227647}",25,0,-85.55124867444486,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
92,False,"{'a': 0.6448963239739854, 'e': 0.8317825373503192}",20,15,7.371660084475251,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.6442511048789976, 'e': 0.8301189722756185}",20,0,-215.6139961264576,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 5}",0
94,False,"{'a': 0.6436065313260374, 'e': 0.8284587343310672}",20,0,-22.136276523984314,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.6429626026692397, 'e': 0.8268018168624051}",20,0,-169.3125453503459,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
96,False,"{'a': 0.6423193182633854, 'e': 0.8251482132286803}",20,0,-59.572388481074164,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.6416766774639012, 'e': 0.823497916802223}",30,9,-110.26377225122653,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 2}",1
98,False,"{'a': 0.6410346796268587, 'e': 0.8218509209686186}",20,0,-121.66339617417677,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
99,False,"{'a': 0.6403933241089734, 'e': 0.8202072191266814}",20,0,-142.62291187019994,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
100,False,"{'a': 0.6397526102676049, 'e': 0.818566804688428}",30,0,-187.05063739236255,"{0: 20, 1: 4, 2: 1, 3: 1, 4: 4}",0
101,False,"{'a': 0.6391125374607555, 'e': 0.8169296710790511}",20,0,-26.610103706808626,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
102,False,"{'a': 0.6384731050470697, 'e': 0.815295811736893}",25,0,-154.98537871900302,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
103,False,"{'a': 0.637834312385834, 'e': 0.8136652201134192}",20,0,-57.60303538502678,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
104,False,"{'a': 0.6371961588369756, 'e': 0.8120378896731923}",25,17,-8.085607168455914,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.6365586437610623, 'e': 0.8104138138938459}",25,0,-59.8406350183575,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.6359217665193015, 'e': 0.8087929862660582}",35,17,-110.9363593051293,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 1}",1
107,False,"{'a': 0.6352855264735401, 'e': 0.8071754002935261}",20,0,-124.28763297770223,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
108,False,"{'a': 0.634649922986263, 'e': 0.805561049492939}",25,8,-143.22493631191037,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 3}",1
109,False,"{'a': 0.634014955420593, 'e': 0.8039499273939532}",25,0,-79.51685289186634,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
110,False,"{'a': 0.6333806231402904, 'e': 0.8023420275391653}",25,0,-111.91858302040488,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
111,False,"{'a': 0.6327469255097519, 'e': 0.800737343484087}",20,0,-104.33592882876927,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
112,False,"{'a': 0.6321138618940099, 'e': 0.7991358687971188}",20,0,-91.16723774243106,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
113,False,"{'a': 0.6314814316587324, 'e': 0.7975375970595246}",20,4,15.311833645019197,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.6308496341702219, 'e': 0.7959425218654056}",20,0,-41.04309114184465,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.6302184687954149, 'e': 0.7943506368216747}",30,0,-23.623923260639636,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.6295879349018815, 'e': 0.7927619355480314}",30,0,-118.90792242729631,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
117,False,"{'a': 0.6289580318578241, 'e': 0.7911764116769353}",20,0,-126.44513301833346,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
118,False,"{'a': 0.6283287590320776, 'e': 0.7895940588535815}",20,0,-68.9689661950621,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
119,False,"{'a': 0.6277001157941084, 'e': 0.7880148707358743}",20,0,-50.49484389820154,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
120,False,"{'a': 0.6270721015140135, 'e': 0.7864388409944025}",20,0,-145.783279312321,"{0: 6, 1: 5, 2: 7, 3: 1, 4: 1}",0
121,False,"{'a': 0.6264447155625202, 'e': 0.7848659633124138}",30,0,-166.90874526672292,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
122,False,"{'a': 0.6258179573109856, 'e': 0.783296231385789}",20,3,-55.75642953495332,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
123,False,"{'a': 0.6251918261313952, 'e': 0.7817296389230174}",20,0,-133.49074094157592,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
124,False,"{'a': 0.6245663213963635, 'e': 0.7801661796451713}",30,0,-44.20837157353096,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.6239414424791324, 'e': 0.778605847285881}",20,0,-119.55944546283371,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
126,False,"{'a': 0.6233171887535708, 'e': 0.7770486355913092}",35,9,-89.97707402562966,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 2}",1
127,False,"{'a': 0.6226935595941742, 'e': 0.7754945383201266}",35,14,10.790722803151077,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.6220705543760636, 'e': 0.7739435492434863}",20,0,-144.692315568565,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
129,False,"{'a': 0.6214481724749857, 'e': 0.7723956621449993}",35,0,-177.43925119237028,"{0: 20, 1: 6, 2: 5, 3: 2, 4: 2}",0
130,False,"{'a': 0.6208264132673115, 'e': 0.7708508708207094}",20,0,-137.26521553661198,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
131,False,"{'a': 0.6202052761300358, 'e': 0.769309169079068}",25,10,-28.06113588613778,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.6195847604407769, 'e': 0.7677705507409098}",30,0,-126.83847866740874,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
133,False,"{'a': 0.6189648655777757, 'e': 0.766235009639428}",35,0,-116.68990195162397,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
134,False,"{'a': 0.6183455909198954, 'e': 0.7647025396201492}",25,3,-24.30201374282321,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
135,False,"{'a': 0.6177269358466202, 'e': 0.763173134540909}",30,0,-208.76285663886992,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
136,False,"{'a': 0.6171088997380556, 'e': 0.7616467882718272}",20,0,-152.09414611435827,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
137,False,"{'a': 0.616491481974927, 'e': 0.7601234946952835}",25,0,-94.06332878539968,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
138,False,"{'a': 0.6158746819385795, 'e': 0.7586032477058929}",25,10,-3.9956298078220547,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.6152584990109772, 'e': 0.7570860412104812}",20,0,-164.45527856033928,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
140,False,"{'a': 0.6146429325747024, 'e': 0.7555718691280602}",20,0,-29.64518462896107,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
141,False,"{'a': 0.6140279820129552, 'e': 0.7540607253898041}",25,0,-37.23960012994753,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
142,False,"{'a': 0.6134136467095529, 'e': 0.7525526039390245}",25,0,-48.631853690232354,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.6127999260489293, 'e': 0.7510474987311464}",30,0,-71.50858175255378,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
144,False,"{'a': 0.6121868194161338, 'e': 0.7495454037336841}",20,0,-94.00908311869217,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
145,False,"{'a': 0.6115743261968314, 'e': 0.7480463129262167}",20,0,-35.558669194041094,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
146,False,"{'a': 0.6109624457773015, 'e': 0.7465502203003642}",20,0,-26.389791145209017,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
147,False,"{'a': 0.6103511775444378, 'e': 0.7450571198597635}",20,2,6.616563218123364,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.6097405208857469, 'e': 0.743567005620044}",20,0,-40.771646793937386,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
149,False,"{'a': 0.6091304751893488, 'e': 0.7420798716088038}",25,0,-135.8697716851354,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
150,False,"{'a': 0.6085210398439754, 'e': 0.7405957118655863}",25,3,-69.18108924107044,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 2}",1
151,False,"{'a': 0.6079122142389701, 'e': 0.7391145204418551}",20,0,-145.3776885735978,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
152,False,"{'a': 0.6073039977642875, 'e': 0.7376362914009714}",20,5,-48.84707537231137,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
153,False,"{'a': 0.6066963898104922, 'e': 0.7361610188181695}",20,0,-42.290830280816536,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
154,False,"{'a': 0.6060893897687589, 'e': 0.7346886967805332}",20,0,-60.99659137749624,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.6054829970308713, 'e': 0.733219319386972}",25,5,18.969681787235228,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.6048772109892214, 'e': 0.7317528807481981}",20,0,-30.08825897435986,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
157,False,"{'a': 0.6042720310368095, 'e': 0.7302893749867018}",25,0,-100.10265239879388,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
158,False,"{'a': 0.603667456567243, 'e': 0.7288287962367284}",35,0,-18.936947159770412,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
159,False,"{'a': 0.6030634869747359, 'e': 0.727371138644255}",20,0,-68.2164760589219,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
160,False,"{'a': 0.6024601216541086, 'e': 0.7259163963669665}",20,0,32.91911271083039,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.6018573600007865, 'e': 0.7244645635742325}",30,0,-92.05091496435085,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
162,False,"{'a': 0.6012552014108002, 'e': 0.723015634447084}",20,0,-74.89872029455577,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
163,False,"{'a': 0.6006536452807849, 'e': 0.7215696031781899}",30,0,-64.07385214918794,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
164,False,"{'a': 0.6000526910079786, 'e': 0.7201264639718334}",25,0,-88.34893360837678,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
165,False,"{'a': 0.5994523379902232, 'e': 0.7186862110438897}",20,0,-129.491916669276,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
166,False,"{'a': 0.5988525856259627, 'e': 0.717248838621802}",25,0,-65.69594101228857,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
167,False,"{'a': 0.5982534333142429, 'e': 0.7158143409445584}",25,0,-141.09076662348508,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
168,False,"{'a': 0.5976548804547108, 'e': 0.7143827122626694}",20,0,-84.29742364464636,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
169,False,"{'a': 0.5970569264476144, 'e': 0.7129539468381441}",25,16,-80.348782212937,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
170,False,"{'a': 0.5964595706938014, 'e': 0.7115280389444678}",20,0,6.4664292335808495,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
171,False,"{'a': 0.5958628125947192, 'e': 0.7101049828665789}",25,0,-87.91026904450459,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
172,False,"{'a': 0.5952666515524139, 'e': 0.7086847729008457}",20,8,-8.506880986694302,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.5946710869695297, 'e': 0.707267403355044}",20,0,-48.57683412492211,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
